id,jornada_id,equipo_local,equipo_visitante,fecha_partido,estado,notas
134,14,Mallorca,Osasuna,,pendiente,
135,14,Rayo Vallecano,Valencia,,pendiente,
136,14,Real Sociedad,Villarreal,,pendiente,
137,14,Barcelona,Alavés,,pendiente,
138,14,Levante,Athletic Bilbao,,pendiente,
139,14,Sevilla,Betis,,pendiente,
140,14,Getafe,Elche,,pendiente,
141,15,Alavés,Real Sociedad,,pendiente,
142,15,Athletic Bilbao,Atlético de Madrid,,pendiente,
143,15,Elche,Girona,,pendiente,
144,15,Espanyol,Rayo Vallecano,,pendiente,
145,15,Betis,Barcelona,,pendiente,
146,15,Real Madrid,Celta de Vigo,,pendiente,
147,15,Villarreal,Getafe,,pendiente,
148,15,Osasuna,Levante,,pendiente,
149,15,Oviedo,Mallorca,,pendiente,
150,15,Valencia,Sevilla,,pendiente,
151,16,Alavés,Real Madrid,,pendiente,
152,16,Atlético de Madrid,Valencia,,pendiente,
153,16,Barcelona,Osasuna,,pendiente,
154,16,Levante,Villarreal,,pendiente,
155,16,Celta de Vigo,Athletic Bilbao,,pendiente,
156,16,Rayo Vallecano,Betis,,pendiente,
157,16,Mallorca,Elche,,pendiente,
158,16,Getafe,Espanyol,,pendiente,
159,16,Real Sociedad,Girona,,pendiente,
160,16,Sevilla,Oviedo,,pendiente,
161,17,Athletic Bilbao,Espanyol,,pendiente,
162,17,Betis,Getafe,,pendiente,
163,17,Elche,Rayo Vallecano,,pendiente,
164,17,Levante,Real Sociedad,,pendiente,
165,17,Real Madrid,Sevilla,,pendiente,
166,17,Osasuna,Alavés,,pendiente,
167,17,Girona,Atlético de Madrid,,pendiente,
168,17,Villarreal,Barcelona,,pendiente,
169,17,Oviedo,Celta de Vigo,,pendiente,
170,17,Valencia,Mallorca,,pendiente,
171,18,Alavés,Oviedo,,pendiente,
172,18,Celta de Vigo,Valencia,,pendiente,
173,18,Elche,Villarreal,,pendiente,
174,18,Osasuna,Athletic Bilbao,,pendiente,
175,18,Real Sociedad,Atlético de Madrid,,pendiente,
176,18,Espanyol,Barcelona,,pendiente,
177,18,Real Madrid,Betis,,pendiente,
178,18,Rayo Vallecano,Getafe,,pendiente,
179,18,Mallorca,Girona,,pendiente,
180,18,Sevilla,Levante,,pendiente,
181,19,Athletic Bilbao,Real Madrid,,pendiente,
182,19,Getafe,Real Sociedad,,pendiente,
183,19,Girona,Osasuna,,pendiente,
184,19,Villarreal,Alavés,,pendiente,
185,19,Barcelona,Atlético de Madrid,,pendiente,
186,19,Oviedo,Betis,,pendiente,
187,19,Sevilla,Celta de Vigo,,pendiente,
188,19,Valencia,Elche,,pendiente,
189,19,Levante,Espanyol,,pendiente,
190,19,Rayo Vallecano,Mallorca,,pendiente,
191,20,Betis,Villarreal,,pendiente,
192,20,Celta de Vigo,Rayo Vallecano,,pendiente,
193,20,Elche,Sevilla,,pendiente,
194,20,Espanyol,Girona,,pendiente,
195,20,Getafe,Valencia,,pendiente,
196,20,Osasuna,Oviedo,,pendiente,
197,20,Atlético de Madrid,Alavés,,pendiente,
198,20,Mallorca,Athletic Bilbao,,pendiente,
199,20,Real Sociedad,Barcelona,,pendiente,
200,20,Real Madrid,Levante,,pendiente,
201,21,Alavés,Betis,,pendiente,
202,21,Atlético de Madrid,Mallorca,,pendiente,
203,21,Barcelona,Oviedo,,pendiente,
204,21,Sevilla,Athletic Bilbao,,pendiente,
205,21,Real Sociedad,Celta de Vigo,,pendiente,
206,21,Levante,Elche,,pendiente,
207,21,Valencia,Espanyol,,pendiente,
208,21,Girona,Getafe,,pendiente,
209,21,Rayo Vallecano,Osasuna,,pendiente,
210,21,Villarreal,Real Madrid,,pendiente,
211,22,Athletic Bilbao,Real Sociedad,,pendiente,
212,22,Betis,Valencia,,pendiente,
213,22,Mallorca,Sevilla,,pendiente,
214,22,Osasuna,Villarreal,,pendiente,
215,22,Espanyol,Alavés,,pendiente,
216,22,Levante,Atlético de Madrid,,pendiente,
217,22,Elche,Barcelona,,pendiente,
218,22,Getafe,Celta de Vigo,,pendiente,
219,22,Oviedo,Girona,,pendiente,
220,22,Real Madrid,Rayo Vallecano,,pendiente,
221,23,Alavés,Getafe,,pendiente,
222,23,Athletic Bilbao,Levante,,pendiente,
223,23,Atlético de Madrid,Betis,,pendiente,
224,23,Barcelona,Mallorca,,pendiente,
225,23,Celta de Vigo,Osasuna,,pendiente,
226,23,Real Sociedad,Elche,,pendiente,
227,23,Villarreal,Espanyol,,pendiente,
228,23,Sevilla,Girona,,pendiente,
229,23,Valencia,Real Madrid,,pendiente,
230,23,Rayo Vallecano,Oviedo,,pendiente,
231,24,Elche,Osasuna,,pendiente,
232,24,Getafe,Villarreal,,pendiente,
233,24,Levante,Valencia,,pendiente,
234,24,Real Madrid,Real Sociedad,,pendiente,
235,24,Sevilla,Alavés,,pendiente,
236,24,Oviedo,Athletic Bilbao,,pendiente,
237,24,Rayo Vallecano,Atlético de Madrid,,pendiente,
238,24,Girona,Barcelona,,pendiente,
239,24,Mallorca,Betis,,pendiente,
240,24,Espanyol,Celta de Vigo,,pendiente,
241,25,Alavés,Girona,,pendiente,
242,25,Athletic Bilbao,Elche,,pendiente,
243,25,Atlético de Madrid,Espanyol,,pendiente,
244,25,Barcelona,Levante,,pendiente,
245,25,Betis,Rayo Vallecano,,pendiente,
246,25,Celta de Vigo,Mallorca,,pendiente,
247,25,Getafe,Sevilla,,pendiente,
248,25,Osasuna,Real Madrid,,pendiente,
249,25,Villarreal,Valencia,,pendiente,
250,25,Real Sociedad,Oviedo,,pendiente,
251,26,Barcelona,Villarreal,,pendiente,
252,26,Betis,Sevilla,,pendiente,
253,26,Elche,Espanyol,,pendiente,
254,26,Mallorca,Real Sociedad,,pendiente,
255,26,Levante,Alavés,,pendiente,
256,26,Rayo Vallecano,Athletic Bilbao,,pendiente,
257,26,Oviedo,Atlético de Madrid,,pendiente,
258,26,Girona,Celta de Vigo,,pendiente,
259,26,Real Madrid,Getafe,,pendiente,
260,26,Valencia,Osasuna,,pendiente,
261,27,Athletic Bilbao,Barcelona,,pendiente,
262,27,Atlético de Madrid,Real Sociedad,,pendiente,
263,27,Celta de Vigo,Real Madrid,,pendiente,
264,27,Espanyol,Oviedo,,pendiente,
265,27,Valencia,Alavés,,pendiente,
266,27,Getafe,Betis,,pendiente,
267,27,Villarreal,Elche,,pendiente,
268,27,Levante,Girona,,pendiente,
269,27,Osasuna,Mallorca,,pendiente,
270,27,Sevilla,Rayo Vallecano,,pendiente,
271,28,Alavés,Villarreal,,pendiente,
272,28,Atlético de Madrid,Getafe,,pendiente,
273,28,Barcelona,Sevilla,,pendiente,
274,28,Betis,Celta de Vigo,,pendiente,
275,28,Oviedo,Valencia,,pendiente,
276,28,Girona,Athletic Bilbao,,pendiente,
277,28,Real Madrid,Elche,,pendiente,
278,28,Mallorca,Espanyol,,pendiente,
279,28,Rayo Vallecano,Levante,,pendiente,
280,28,Real Sociedad,Osasuna,,pendiente,
281,29,Athletic Bilbao,Betis,,pendiente,
282,29,Barcelona,Rayo Vallecano,,pendiente,
283,29,Elche,Mallorca,,pendiente,
284,29,Espanyol,Getafe,,pendiente,
285,29,Levante,Oviedo,,pendiente,
286,29,Sevilla,Valencia,,pendiente,
287,29,Celta de Vigo,Alavés,,pendiente,
288,29,Real Madrid,Atlético de Madrid,,pendiente,
289,29,Osasuna,Girona,,pendiente,
290,29,Villarreal,Real Sociedad,,pendiente,
291,30,Alavés,Osasuna,,pendiente,
292,30,Atlético de Madrid,Barcelona,,pendiente,
293,30,Betis,Espanyol,,pendiente,
294,30,Girona,Villarreal,,pendiente,
295,30,Mallorca,Real Madrid,,pendiente,
296,30,Oviedo,Sevilla,,pendiente,
297,30,Getafe,Athletic Bilbao,,pendiente,
298,30,Valencia,Celta de Vigo,,pendiente,
299,30,Rayo Vallecano,Elche,,pendiente,
300,30,Real Sociedad,Levante,,pendiente,
301,31,Athletic Bilbao,Villarreal,,pendiente,
302,31,Barcelona,Espanyol,,pendiente,
303,31,Celta de Vigo,Oviedo,,pendiente,
304,31,Elche,Valencia,,pendiente,
305,31,Mallorca,Rayo Vallecano,,pendiente,
306,31,Real Sociedad,Alavés,,pendiente,
307,31,Sevilla,Atlético de Madrid,,pendiente,
308,31,Osasuna,Betis,,pendiente,
309,31,Levante,Getafe,,pendiente,
310,31,Real Madrid,Girona,,pendiente,
311,32,Alavés,Mallorca,,pendiente,
312,32,Betis,Real Madrid,,pendiente,
313,32,Espanyol,Levante,,pendiente,
314,32,Osasuna,Sevilla,,pendiente,
315,32,Rayo Vallecano,Real Sociedad,,pendiente,
316,32,Atlético de Madrid,Athletic Bilbao,,pendiente,
317,32,Getafe,Barcelona,,pendiente,
318,32,Villarreal,Celta de Vigo,,pendiente,
319,32,Oviedo,Elche,,pendiente,
320,32,Valencia,Girona,,pendiente,
321,33,Athletic Bilbao,Osasuna,,pendiente,
322,33,Barcelona,Celta de Vigo,,pendiente,
323,33,Levante,Sevilla,,pendiente,
324,33,Mallorca,Valencia,,pendiente,
325,33,Oviedo,Villarreal,,pendiente,
326,33,Real Madrid,Alavés,,pendiente,
327,33,Elche,Atlético de Madrid,,pendiente,
328,33,Girona,Betis,,pendiente,
329,33,Rayo Vallecano,Espanyol,,pendiente,
330,33,Real Sociedad,Getafe,,pendiente,
331,34,Alavés,Athletic Bilbao,,pendiente,
332,34,Betis,Oviedo,,pendiente,
333,34,Celta de Vigo,Elche,,pendiente,
334,34,Espanyol,Real Madrid,,pendiente,
335,34,Getafe,Rayo Vallecano,,pendiente,
336,34,Girona,Mallorca,,pendiente,
337,34,Valencia,Atlético de Madrid,,pendiente,
338,34,Osasuna,Barcelona,,pendiente,
339,34,Villarreal,Levante,,pendiente,
340,34,Sevilla,Real Sociedad,,pendiente,
341,35,Athletic Bilbao,Valencia,,pendiente,
342,35,Atlético de Madrid,Celta de Vigo,,pendiente,
343,35,Barcelona,Real Madrid,,pendiente,
344,35,Levante,Osasuna,,pendiente,
345,35,Mallorca,Villarreal,,pendiente,
346,35,Elche,Alavés,,pendiente,
347,35,Real Sociedad,Betis,,pendiente,
348,35,Sevilla,Espanyol,,pendiente,
349,35,Oviedo,Getafe,,pendiente,
350,35,Rayo Vallecano,Girona,,pendiente,
351,36,Alavés,Barcelona,,pendiente,
352,36,Betis,Elche,,pendiente,
353,36,Celta de Vigo,Levante,,pendiente,
354,36,Getafe,Mallorca,,pendiente,
355,36,Girona,Real Sociedad,,pendiente,
356,36,Espanyol,Athletic Bilbao,,pendiente,
357,36,Osasuna,Atlético de Madrid,,pendiente,
358,36,Valencia,Rayo Vallecano,,pendiente,
359,36,Villarreal,Sevilla,,pendiente,
360,36,Real Madrid,Oviedo,,pendiente,
361,37,Athletic Bilbao,Celta de Vigo,,pendiente,
362,37,Atlético de Madrid,Girona,,pendiente,
363,37,Barcelona,Betis,,pendiente,
364,37,Elche,Getafe,,pendiente,
365,37,Levante,Mallorca,,pendiente,
366,37,Rayo Vallecano,Villarreal,,pendiente,
367,37,Real Sociedad,Valencia,,pendiente,
368,37,Oviedo,Alavés,,pendiente,
369,37,Osasuna,Espanyol,,pendiente,
370,37,Sevilla,Real Madrid,,pendiente,
371,38,Alavés,Rayo Vallecano,,pendiente,
372,38,Betis,Levante,,pendiente,
373,38,Celta de Vigo,Sevilla,,pendiente,
374,38,Espanyol,Real Sociedad,,pendiente,
375,38,Getafe,Osasuna,,pendiente,
376,38,Mallorca,Oviedo,,pendiente,
377,38,Real Madrid,Athletic Bilbao,,pendiente,
378,38,Villarreal,Atlético de Madrid,,pendiente,
379,38,Valencia,Barcelona,,pendiente,
380,38,Girona,Elche,,pendiente,
